loan_amount,loan_repaid,crop_insured,years_of_exp_in_sericulture,training_on_sericulture,krishi_pond,borewell_recharge,rain_harvesting,own_compost_manure,own_vermi_compost,trenching_mulching,bio_fertilizers,mechanization,mulberry_diseases,affected_by_pest,rearing_cost,instrument_mgmt_cost,temp_mgmt,humidity_mgmt,airvent_temp_mgmt,rotary_mounting,seri_total_subsidy,income_per_acre,chawki_bivol,rearing_cost_missing
35000,1,1,8,1,0,0,0,1,0,1,0,1,0,0,60000,20000,1,1,1,0,85200,33333.33333,1,
60000,1,1,10,1,0,0,0,0,0,1,0,1,1,1,50000,0,1,1,1,0,110200,52222.22222,1,50000
30000,1,1,5,1,0,0,0,0,0,0,0,1,1,1,50000,15000,1,1,1,0,0,28571.42857,1,50000
70000,1,1,8,1,0,0,0,1,1,0,0,1,1,1,50000,20000,1,1,1,0,0,31250,1,50000
30000,1,1,5,1,0,0,0,0,0,0,0,1,0,0,50000,15000,1,1,1,0,0,22500,1,50000
70000,0,1,15,1,0,0,0,0,1,0,1,1,1,1,40000,20000,1,1,1,0,0,21818.18182,1,40000
50000,0,0,9,1,1,0,0,0,0,1,0,1,1,1,30000,20000,1,1,1,0,10200,21818.18182,1,30000
70000,1,1,10,1,0,0,0,0,0,0,0,0,1,1,0,15000,1,1,1,0,0,27272.72727,1,0
30000,1,0,8,1,0,0,0,0,1,0,0,1,1,1,30000,15000,1,1,1,0,0,28750,1,30000
50000,1,1,5,1,0,0,0,1,0,0,1,1,1,1,30000,20000,1,1,1,0,0,37142.85714,1,30000
50000,1,0,10,1,0,0,0,1,1,1,1,1,1,1,38000,0,1,1,1,0,85200,19565.21739,1,38000
50000,1,1,15,1,0,0,0,1,1,1,0,0,1,0,10000,1000,1,1,1,1,10200,47500,0,10000
50000,0,0,10,1,0,0,0,0,1,1,0,0,1,1,30000,20000,1,1,1,0,60000,27380.95238,1,30000
50000,1,0,10,1,0,0,0,0,0,1,1,1,1,1,50000,1100,1,1,1,0,60200,37777.77778,1,50000
50000,1,0,1,0,0,0,0,1,0,0,1,0,1,0,15000,0,1,1,1,0,10200,17000,1,15000
50000,1,0,8,1,0,0,0,0,0,0,1,1,1,1,50000,20000,1,1,1,0,0,40909.09091,1,50000
50000,1,1,8,1,0,0,0,1,0,1,0,1,1,1,70000,0,1,1,1,0,0,21818.18182,1,70000
70000,1,1,10,1,0,0,0,0,0,0,1,1,1,1,38000,20000,1,1,1,0,60200,27906.97674,1,38000
50000,1,1,8,1,0,0,0,1,0,0,1,0,1,1,50000,20000,1,1,1,0,60200,31818.18182,1,50000
1.00E+05,0,0,2,0,1,0,0,1,0,0,1,0,1,1,40000,5000,0,0,0,0,20000,20000,1,40000
35000,1,0,8,1,0,0,0,0,0,0,0,1,1,1,50000,20000,1,1,1,0,0,20338.98305,1,50000
80000,1,0,15,0,0,0,0,0,1,0,0,1,1,1,20000,5000,1,1,1,0,20000,34000,0,20000
120000,0,0,10,0,0,0,0,1,0,1,1,1,1,1,20000,4000,1,1,1,0,0,43478.26087,0,20000
0,1,0,15,0,0,0,0,0,0,0,1,1,1,1,40000,3000,1,1,1,0,75000,8333.333333,0,40000
0,1,0,10,0,0,0,0,0,1,0,1,0,1,1,40000,3000,1,1,1,0,0,78695.65217,0,40000
0,1,0,20,0,1,0,0,0,1,0,0,0,1,1,25000,5000,1,1,1,0,0,33854.16667,0,25000
0,1,0,40,0,0,0,0,0,1,0,0,1,1,1,30000,3000,1,1,1,0,0,44166.66667,0,30000
0,1,0,20,0,0,0,0,0,1,0,0,1,0,0,30000,3000,1,1,1,0,0,16540.75547,0,30000
50000,1,0,10,0,1,0,0,0,1,0,0,1,1,1,20000,5000,1,1,1,0,0,12000,0,20000
0,1,1,15,0,1,0,0,1,1,0,0,0,1,1,30000,3000,1,1,1,0,75000,14705.88235,0,30000
150000,1,0,20,0,0,0,0,1,0,1,1,1,1,1,30000,5000,1,1,1,0,85000,73130.84112,0,30000
1.00E+05,1,0,25,0,0,0,0,0,1,0,0,1,1,1,50000,5000,1,1,1,0,0,95000,0,50000
0,1,0,30,0,0,0,0,1,1,0,0,1,1,1,50000,4000,1,1,1,0,30000,20000,0,50000
90000,0,0,30,0,0,0,0,1,1,0,0,1,1,1,30000,5000,1,1,1,0,11500,11090.90909,0,30000
0,1,0,20,0,0,0,0,0,1,0,0,1,1,1,40000,3000,1,1,1,0,0,63833.33333,0,40000
0,1,0,20,0,0,0,0,0,1,0,0,1,1,1,40000,300,1,1,1,0,0,63058.82353,0,40000
0,1,0,20,0,1,0,0,0,1,0,0,1,1,1,50000,2000,1,1,1,0,0,16400,0,50000
